epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,645.027,1.20329,0.74958,1.00395,0.9098,0.78632,0.88405,0.51194,1.43317,0.96425,1.10519,0.0005942,0.0005942,0.0005942
73,651.974,1.19117,0.73105,0.99682,0.90828,0.79487,0.88937,0.50789,1.44063,0.92244,1.10489,0.0005744,0.0005744,0.0005744
74,659.035,1.19801,0.72939,0.99656,0.85714,0.81197,0.89114,0.50734,1.45592,0.95669,1.12134,0.0005546,0.0005546,0.0005546
75,670.258,1.1814,0.72768,0.98566,0.90743,0.75407,0.90342,0.5144,1.45206,0.87216,1.10515,0.0005348,0.0005348,0.0005348
76,680.205,1.18187,0.72301,0.98517,0.84572,0.82051,0.89234,0.51955,1.47317,0.91221,1.11571,0.000515,0.000515,0.000515
77,689.907,1.16689,0.71807,1.00007,0.87536,0.78035,0.88634,0.51752,1.45119,0.94229,1.11338,0.0004952,0.0004952,0.0004952
78,701.073,1.15998,0.70579,0.9757,0.9095,0.77778,0.89746,0.49746,1.51081,0.93964,1.14965,0.0004754,0.0004754,0.0004754
79,710.415,1.15035,0.6944,0.9713,0.90141,0.77778,0.88397,0.50286,1.50289,0.94406,1.14007,0.0004556,0.0004556,0.0004556
80,716.424,1.1465,0.70147,0.97921,0.87082,0.81197,0.89539,0.52298,1.44616,0.88231,1.10927,0.0004358,0.0004358,0.0004358
81,722.757,1.14252,0.68186,0.9824,0.83259,0.85017,0.88465,0.51049,1.45927,0.9597,1.11021,0.000416,0.000416,0.000416
82,729.919,1.13672,0.69284,0.97391,0.8644,0.81731,0.894,0.52349,1.4809,0.97198,1.11679,0.0003962,0.0003962,0.0003962
83,736.897,1.14194,0.67901,0.97098,0.92099,0.79702,0.8909,0.49601,1.49945,0.92283,1.12668,0.0003764,0.0003764,0.0003764
